x	f(x)	df(x)
1,500000e+00	1,051352e-01	-1,502472e-01
1,550000e+00	9,776230e-02	-1,446101e-01
1,600000e+00	9,067927e-02	-1,386678e-01
1,650000e+00	8,389914e-02	-1,325078e-01
1,700000e+00	7,743084e-02	-1,262066e-01
1,750000e+00	7,127970e-02	-1,198317e-01
1,800000e+00	6,544793e-02	-1,134411e-01
1,850000e+00	5,993501e-02	-1,070854e-01
1,900000e+00	5,473809e-02	-1,008076e-01
1,950000e+00	4,985234e-02	-9,464416e-02
2,000000e+00	4,527125e-02	-8,862561e-02
2,050000e+00	4,098694e-02	-8,277718e-02
2,100000e+00	3,699036e-02	-7,711927e-02
2,150000e+00	3,327157e-02	-7,166798e-02
2,200000e+00	2,981991e-02	-6,643565e-02
2,250000e+00	2,662420e-02	-6,143122e-02
2,300000e+00	2,367289e-02	-5,666069e-02
2,350000e+00	2,095418e-02	-5,212743e-02
2,400000e+00	1,845617e-02	-4,783259e-02
2,450000e+00	1,616696e-02	-4,377534e-02
2,500000e+00	1,407472e-02	-3,995317e-02
2,550000e+00	1,216779e-02	-3,636215e-02
2,600000e+00	1,043473e-02	-3,299717e-02
2,650000e+00	8,864404e-03	-2,985210e-02
2,700000e+00	7,445972e-03	-2,692004e-02
2,750000e+00	6,168975e-03	-2,419342e-02
2,800000e+00	5,023341e-03	-2,166418e-02
2,850000e+00	3,999408e-03	-1,932390e-02
2,900000e+00	3,087946e-03	-1,716389e-02
2,950000e+00	2,280161e-03	-1,517535e-02
3,000000e+00	1,567702e-03	-1,334938e-02
3,050000e+00	9,426620e-04	-1,167710e-02
3,100000e+00	3,975777e-04	-1,014971e-02
3,150000e+00	-7,457829e-05	-8,758541e-03
3,200000e+00	-4,804044e-04	-7,495115e-03
3,250000e+00	-8,260800e-04	-6,351161e-03
3,300000e+00	-1,117377e-03	-5,318664e-03
3,350000e+00	-1,359674e-03	-4,389884e-03
3,400000e+00	-1,557969e-03	-3,557375e-03
3,450000e+00	-1,716897e-03	-2,814007e-03
3,500000e+00	-1,840741e-03	-2,152967e-03
3,550000e+00	-1,933457e-03	-1,567771e-03
3,600000e+00	-1,998679e-03	-1,052267e-03
3,650000e+00	-2,039747e-03	-6,006351e-04
3,700000e+00	-2,059715e-03	-2,073831e-04
3,750000e+00	-2,061372e-03	1,326556e-04
3,800000e+00	-2,047255e-03	4,243295e-04
3,850000e+00	-2,019669e-03	6,721761e-04
3,900000e+00	-1,980697e-03	8,804316e-04
3,950000e+00	-1,932220e-03	1,053040e-03
4,000000e+00	-1,875926e-03	1,193666e-03
4,050000e+00	-1,813329e-03	1,305704e-03
4,100000e+00	-1,745779e-03	1,392291e-03
4,150000e+00	-1,674476e-03	1,456319e-03
4,200000e+00	-1,600479e-03	1,500449e-03
4,250000e+00	-1,524722e-03	1,527118e-03
4,300000e+00	-1,448021e-03	1,538558e-03
4,350000e+00	-1,371085e-03	1,536804e-03
4,400000e+00	-1,294529e-03	1,523707e-03
4,450000e+00	-1,218876e-03	1,500946e-03
4,500000e+00	-1,144570e-03	1,470038e-03
4,550000e+00	-1,071985e-03	1,432352e-03
4,600000e+00	-1,001427e-03	1,389115e-03
4,650000e+00	-9,331473e-04	1,341427e-03
4,700000e+00	-8,673424e-04	1,290267e-03
4,750000e+00	-8,041639e-04	1,236505e-03
4,800000e+00	-7,437224e-04	1,180909e-03
4,850000e+00	-6,860923e-04	1,124153e-03
4,900000e+00	-6,313165e-04	1,066826e-03
4,950000e+00	-5,794106e-04	1,009441e-03
5,000000e+00	-5,303660e-04	9,524382e-04
5,050000e+00	-4,841541e-04	8,961941e-04
5,100000e+00	-4,407286e-04	8,410271e-04
5,150000e+00	-4,000290e-04	7,872033e-04
5,200000e+00	-3,619823e-04	7,349412e-04
5,250000e+00	-3,265059e-04	6,844175e-04
5,300000e+00	-2,935092e-04	6,357708e-04
5,350000e+00	-2,628957e-04	5,891067e-04
5,400000e+00	-2,345643e-04	5,445007e-04
5,450000e+00	-2,084106e-04	5,020025e-04
5,500000e+00	-1,843284e-04	4,616389e-04
5,550000e+00	-1,622110e-04	4,234169e-04
5,600000e+00	-1,419512e-04	3,873264e-04
5,650000e+00	-1,234432e-04	3,533427e-04
5,700000e+00	-1,065825e-04	3,214284e-04
5,750000e+00	-9,126670e-05	2,915361e-04
5,800000e+00	-7,739613e-05	2,636093e-04
5,850000e+00	-6,487407e-05	2,375849e-04
5,900000e+00	-5,360709e-05	2,133942e-04
5,950000e+00	-4,350531e-05	1,909641e-04
6,000000e+00	-3,448261e-05	1,702185e-04
6,050000e+00	-2,645671e-05	1,510791e-04
6,100000e+00	-1,934927e-05	1,334666e-04
6,150000e+00	-1,308594e-05	1,173010e-04
6,200000e+00	-7,596385e-06	1,025028e-04
6,250000e+00	-2,814203e-06	8,899292e-05
6,300000e+00	1,323079e-06	7,669390e-05
6,350000e+00	4,874094e-06	6,552977e-05
6,400000e+00	7,893730e-06	5,542663e-05
6,450000e+00	1,043324e-05	4,631287e-05
6,500000e+00	1,254035e-05	3,811938e-05
